Zip_Rent,Restaurant_Number,Restaurant_Avg_Rating,Restaurant_Avg_Review,Gym_Number,Gym_Avg_Rating,Gym_Avg_Review,Cleaning_Number,Cleaning_Avg_Rating,Clenaing_Avg_Review,Grocery_Number,Grocery_Avg_Rating,Grocery_Avg_Review
10451,85,3.217647,13.682353,13,4.192308,8.538462,8,2.8125,2.875,31,3.145161,9.548387
10457,221,3.255656,23.904977,15,3.7,5.733333,25,2.9,1.48,89,3.544944,18.348315
10462,496,3.491935,23.487903,90,4.244444,12.288889,61,3.459016,8.409836,235,3.508511,16.778723
10467,521,3.486564,32.522073,117,4.282051,12,82,3.72561,7.573171,252,3.521825,18.492063
10469,446,3.393498,22.843049,85,4.335294,11.541176,70,3.407143,7.128571,212,3.436321,18.301887
