is_closed,name,price,rating,review_count,id,alias_list,ZIP_code
False,Brooklyn Boulders,,4.0,498,8b4xgDOH4bextUIFJ-megw,"['gyms', 'rock_climbing', 'yoga']",11217
False,Gotham Archery,,5.0,156,vE6abbpbdA5cO2gaIFKMVA,"['archery', 'eventservices']",11217
False,Ride Brooklyn,$$,4.5,182,CRGUiRELrqw2B4X2lW8SLw,"['bikerentals', 'bikes', 'outdoorgear']",11217
False,Kick Axe Throwing,,4.5,82,X0DNGKUQPjf0AfaXfXU2Qg,['axethrowing'],11217
False,CrossFit South Brooklyn,,5.0,50,tAEY5z1dWCbWtS8ep_55ow,['intervaltraininggyms'],11217
False,BYKlyn Cycle,,4.5,136,RPM7VDmeZy2-MA1H4nsM3g,['cyclingclasses'],11217
False,Melt Massage & Bodywork,,5.0,88,LH7xjdkaeNDogmywjl7xFQ,"['pilates', 'yoga', 'massage_therapy']",11217
False,CKO Kickboxing Park Slope,,5.0,45,NeTL2s8vZ25z_EuBHHAo7A,"['gyms', 'boxing', 'healthtrainers']",11217
False,Bend & Bloom Yoga,,4.0,110,XkRq013sWm6L2qcRhhimFA,['yoga'],11217
False,Brooklyn Escape Room,,4.0,72,I3hV_CvcnRtmOe2dUC1RbA,['escapegames'],11217
False,Class One MMA,,4.5,24,-JIXa-LwIW8ht0ut3gKDpA,"['martialarts', 'gyms']",11217
False,Salsa Salsa Dance Studio,,4.5,37,12M4KPi9hn3rIZO0BImw8g,"['theater', 'dancestudio']",11217
False,5th Ave Fitness,,5.0,26,QgbfpsnVULBg9o8Yqhyc_A,"['healthtrainers', 'nutritionists']",11217
False,Skate Brooklyn,$$,5.0,22,8a6aYq0oXeyegeWZDDjFPw,"['skate_parks', 'skishops', 'skateshops']",11217
False,SevenBell Fitness,,5.0,40,y-P3lXM-n1-O5GL-C04e7g,"['gyms', 'yoga', 'pilates']",11217
False,Brooklyn Yoga School,,4.5,46,CtKNEjYyQixg1qOPaNOzcw,['yoga'],11217
False,Tangerine Hot Power Yoga,,4.5,76,qbMYHBtuIGK4zpOHGAKyjA,['yoga'],11217
False,South Brooklyn Weightlifting Club,,5.0,20,CUjUnhusOgq3EZ363eSL1Q,"['healthtrainers', 'gyms']",11217
False,Park Slope CrossFit,,5.0,15,2a965ju9ibisyTTZhzJzmQ,['gyms'],11217
False,Fort Greene Park,,4.0,94,Ln-QAVnWimj9WbtPNcH2nQ,['parks'],11217
False,The New Body Project,,4.5,26,LfFtWAUNwD3zT2zOOqYuKg,"['gyms', 'healthtrainers', 'bootcamps']",11217
False,MovEvolution Physical Therapy,,5.0,22,8K26qDnPvXWUklqLra7DaA,"['physicaltherapy', 'pilates', 'yoga']",11217
False,The Bar Method,,4.5,90,zygtalW0RfOQ0NlKwH9bPw,['barreclasses'],11217
False,Slope Fitness,,4.5,42,kYtuZxcze6wuh__1zIlpzQ,"['gyms', 'pilates', 'healthtrainers']",11217
False,Catjay Fitness,,5.0,25,5S9GhZfXZJLy0Wq-15_Prg,"['healthtrainers', 'bootcamps']",11217
False,Dancewave,,4.0,21,qO6gZWoVMg23uf2xziNLow,"['theater', 'dancestudio']",11217
False,BodyTonic Pilates Gymnasium,,4.5,20,XUPA1LbE6wnleh8wfwaK6w,['pilates'],11217
False,Brooklyn Music Factory,$$,5.0,17,v58lWdIUsvIl7WrCNqn6EA,"['musicalinstrumentsandteachers', 'daycamps']",11217
False,ChampionsTKD,,5.0,18,euDNFRyIkW8qavoxjTS2YQ,"['taekwondo', 'kickboxing', 'kids_activities']",11217
False,Prospect Heights Yoga,,4.5,57,Zz3ioAbCdY-uD0ym8yYnJg,"['yoga', 'pilates']",11217
False,Court 16 BK Tennis Remixed - Brooklyn,,5.0,20,j1VjLtCNSl55CsxVONjeqg,"['tennis', 'kids_activities', 'summer_camps']",11217
False,Body Unique,,4.5,12,avq89RJTs3cEkcSrGoNOGA,"['healthtrainers', 'bootcamps']",11217
False,Park Slope Yoga Center,,4.0,52,TlOI0p20dkiPaiTPna1ZZw,"['yoga', 'pilates', 'massage_therapy']",11217
False,Studio Maya,,4.0,30,d7bLampqjiR8R4SLYpbV6A,['pilates'],11217
False,Dance Connection,,5.0,25,wE3zxuewidBj-eJWERHFgw,['dancestudio'],11217
False,Gear To Go Outfitters,$$,4.5,37,x8oCpAHIbINX6yZFLxp-vA,"['hiking', 'outdoorgear', 'tours']",11217
False,Orangetheory Fitness Brooklyn - Park Slope,,4.5,23,Z1r9hC46ygHkyrAmkf-gtA,"['bootcamps', 'gyms', 'healthtrainers']",11217
False,HIIT BOX,,4.5,21,0U46pBYwbNAqL5tqiv883A,"['healthtrainers', 'bootcamps', 'cardioclasses']",11217
False,Ellie Herman Studio,,5.0,18,O-sW4Elt_7u2ylJFZkjXxg,"['pilates', 'barreclasses', 'healthtrainers']",11217
False,Crunch - Park Slope,,2.5,170,LH1Nerbn5AsvnqE-_5wCpA,"['gyms', 'healthtrainers', 'yoga']",11217
False,Crunch - Ft. Greene,,2.5,126,WpqIpFsYiV0EMFRFQNjftg,"['gyms', 'healthtrainers', 'yoga']",11217
False,Brooklyn Total Fitness,,5.0,14,D9DqyD6KCVKpkEQnLWX8QA,"['boxing', 'martialarts', 'bootcamps']",11217
False,Yoga Pole Studio,,5.0,22,hhX--bDltqJXw4oxoOoeSA,"['yoga', 'poledancingclasses', 'aerialfitness']",11217
False,Area Yoga,,4.0,14,I2OO4iFMnl2l6LVF1gZ6qw,['yoga'],11217
False,Brooklyn Robot Foundry,,4.5,20,uYWvBmCBbChPOGdEXQKS_Q,"['specialtyschools', 'summer_camps']",11217
False,POGO Events,,3.5,40,_E6ORPB61HGyMySuShQ2jA,"['eventplanning', 'challengecourses', 'scavengerhunts']",11217
False,Bicycle Habitat,$$$,4.0,25,T7cW3jzsHIc_e2fkGqIcdg,"['bikes', 'bike_repair_maintenance', 'bikerentals']",11217
False,Dodge YMCA,,3.0,86,t19PGiyf9bY_-CYBLF5qoQ,"['gyms', 'childcare']",11217
False,Awaken Integrative Movement,,5.0,5,GLzJ-DWZQ6tn1gjtI_IhzQ,"['martialarts', 'healthtrainers', 'sportsmed']",11217
False,Cumbe: Center for African and Diaspora Dance,$$,4.5,15,a0CFbATEKce46u-qXcK6JQ,"['dancestudio', 'musicvenues', 'summer_camps']",11217
False,TriBy3 Performance Coaching,,5.0,5,oZHlSimlYte81iuhWoqVWA,['healthtrainers'],11217
False,BKLYN Fitness,,4.5,6,lvdbLBF0vtM1S1QVX-YOWw,"['healthtrainers', 'bootcamps']",11217
False,Brooklyn Body,,5.0,9,-jE2ZRK2WVH6P2Mia6IG5g,"['healthtrainers', 'gyms']",11217
