is_closed,name,price,rating,review_count,id,alias_list,ZIP_code
False,Planet Fitness - Brooklyn - Rockaway Ave.,,3.5,10,JXgvm8ViGyvemBBXYFv4fQ,"['gyms', 'healthtrainers']",11212
False,Rosie Yoga and Pilates,,5.0,6,KPxlMp7Gcv8_sJnAyv_rSg,"['pilates', 'yoga', 'massage_therapy']",11212
False,Betsy Head Park,,3.5,2,Qt_WwqbPP2icPs1gWIH0Hw,['parks'],11212
False,Brownsville Recreation Center,,5.0,2,Rsmy7e0k1stfFBZ0XerDyA,['recreation'],11212
False,Foster's Community Development Center,,5.0,1,Px7cCz6S1bDD7h9X3uNSGg,"['martialarts', 'yoga']",11212
False,Q Fitness,,3.5,4,BA8b7UuT4UiwK0aT-uANXg,['gyms'],11212
False,Rutland Tire Shop,,5.0,6,IWrnnrWqn2YiRY5NDbwnVw,['tires'],11212
False,Mikes Tire Center,,5.0,3,Kb42d0JhDqXJhE1Nij_lCA,['tires'],11212
False,Lucky Trade Motors,,5.0,3,GEZlLEDlL_-OQdhTdmwHsw,['autorepair'],11212
False,Josh Auto Repair,,5.0,4,IgYwMNvdonCQax77PFgXgQ,"['autorepair', 'tires', 'transmissionrepair']",11212
False,718 All Access,,5.0,12,uas74-c26xp4GIttvkBspA,['carbrokers'],11212
False,Sunshine Auto Repair,,5.0,1,R0gdU98VgBWoIL97lW95lw,['autorepair'],11212
False,Charles Automobile Repair,,5.0,1,Z8VoCXYboI67b--E1chSmQ,['autorepair'],11212
False,Junius Transmissions,,4.0,1,0oTtipvI-CSVP5XM-XK9kA,['transmissionrepair'],11212
False,B & S Tire & Auto,,3.0,2,RK46z8iN23wMduWbh8IvBw,['tires'],11212
False,Kaotic Moto Sports,,2.5,6,b0zP9B0SrzQb35-ivUKvxg,"['motorcyclerepair', 'autopartssupplies']",11212
False,Linden Used Cars,,1.5,4,FxPhjX2DBgOE9qgnsD9omA,['usedcardealers'],11212
False,Shell Gas,,1.0,1,sRL28YO4-HN95gcQGKXNXw,['servicestations'],11212
False,SimTech Auto,,1.0,3,1s-sk_PlKEfFoQEVfkEwWA,"['bodyshops', 'autorepair']",11212
False,Boscaino Collision & Towing,,1.0,3,HTDgkL_vpIn255yMdJWuaQ,"['bodyshops', 'towing']",11212
False,Lora Auto Repair,,1.0,1,qunsaTNAQMneHMJiAC2frg,['autorepair'],11212
False,Trans Union Transport,,1.0,2,dnPg0eXt5K6tNlnyahMIKg,"['movers', 'vehicleshipping']",11212
False,K & R Towing,,1.0,3,MpdKiffgfNTlREqsvcEcDQ,['towing'],11212
False,F & J Auto Repair,,3.0,2,9pRh76-xXZmxSOnL_-hYiw,['autorepair'],11212
False,Atlantic Collision,,5.0,2,Hp4KGLC02guQKIW4yDC5BQ,['bodyshops'],11212
False,Giove Auto Sales,,4.0,1,_ojYofA6HRl28i1EFHGcCg,['autorepair'],11212
False,Golden Touch Auto Collision,,1.0,1,9_WdnSMgk8txhGlwXFbquw,"['bodyshops', 'autorepair']",11212
False,Transmission Man,,5.0,1,CiG-Tm3HgDYTVipyxwuJyw,['transmissionrepair'],11212
False,DL Pro Cuts,$$,5.0,3,btHgl6XzEJmjuuaZGNqkmA,['hair'],11212
False,Claras Beauty Salon,$$,4.0,3,3UvFLt6F59RsgDOdsqrmuA,['hair'],11212
False,World Nails Center,$$,3.0,6,9frn4ozqtTjvgTkS08T6Qg,['othersalons'],11212
False,Fatima Hair Braiding,,5.0,1,3qzmIUASZll-M9wyfYF9oQ,['hair'],11212
False,Dominican Paradise Hair Salon & Barber Shop,$,5.0,2,7oUSBLCcoGydaYlnlju4qQ,"['hairstylists', 'menshair']",11212
False,Graciella Beauty Salon,$$,5.0,1,mgH8ZbuH3O6PPTnoPkafyQ,['hair'],11212
False,Brooklyn Finest Barbershop,$,5.0,1,FYOvJNLkQKjT-GV5xzsv4A,['barbers'],11212
False,Maty African Hairbraiding,,4.0,5,sv55ttyguzR6cFXgSWyh0A,['hair'],11212
False,FabDollsHair,$$,3.5,3,g_Yxwv6j_HdL4BXTlQWj-w,['hair_extensions'],11212
False,Jeffrey Beauty Supply,$$,4.5,3,184jEfUZFMJYaNEG9bMC0Q,['cosmetics'],11212
False,Carmen's Beauty Salon Unisex,$,2.5,3,6KGLQKiPWdaI5In6A4LSRA,['hair'],11212
False,Juanita's Legacy Salon,,3.5,2,63zK30TtaVjhnpCGlKh1Lw,['hair'],11212
False,Jota Beauty Supply,$$,4.0,1,9pLQzadVDYS645JFfW-XUg,['cosmetics'],11212
False,High End Nail Salon,,2.5,3,Pha7UE7FOQTIWhOeGyzjcg,['othersalons'],11212
False,Prospect Hair Salon,,5.0,1,g8eF8W2WiOwr-E5pQddOcQ,['hair'],11212
False,Lovely Nails,$$,3.5,2,QbnHpvtII9w3Cn8q50PU3g,['othersalons'],11212
False,Royal Heritage Salon & Spa,,4.0,1,GNkbXXb9n1AVCFCx2biZFw,"['spas', 'hairstylists', 'hair_extensions']",11212
False,Tory Hammond Unisex Salon,,4.0,1,VmYuqRO793sdGAMaeRwkXw,['hair'],11212
False,Qing Nails,,2.0,1,m5EyI_j4RZz2QcgmXCUp0A,['othersalons'],11212
False,Hand Design Nails,$,2.5,2,Q7gUWNcsYp0sw6CpWelZTA,['othersalons'],11212
False,Jackson Beauty Supply,$,3.0,1,zLeJcVXH-rr_KQqlm0hO0Q,['cosmetics'],11212
False,Dior Nicole Artistry,,5.0,3,oJaztnI8b7uiKFcQJb0oww,"['makeupartists', 'skincare', 'hairremoval']",11212
False,Rutland Nail,,2.5,3,6NZdi6dauNodeBSeBxqV6A,['othersalons'],11212
False,African Hair Braiding,,1.0,1,Kpw4uUO5NUA2wOThjfhevw,['hair'],11212
False,Kimmy Top Nails,,1.0,2,DFasqbuO8cN3X0KnzRmKmg,['othersalons'],11212
False,Hawa's Beauty Salon & African Hair Braiding,,1.0,1,UmKQ6ayT_78RfShNI18xgQ,['hair'],11212
False,Personality Plus Hair Spa,$$,1.0,1,be76jadCIvX4ZunpY9TIUw,['hairstylists'],11212
False,StacyHairWorld,,5.0,2,u3ClBKsrKNxHIjGXRKB1NQ,"['wigs', 'hair_extensions']",11212
False,Bintou Hair Braiding,,1.5,3,JsBEXfjegBl3ULZadbVQRw,['hair'],11212
False,Edith's Hair World,$$,1.0,3,siWjE6eGdWVuwlirxVrpRg,['hair'],11212
False,Queen of Queen beauty salon,$,5.0,1,G06fiUXtpjyDSRksH2Mt-g,['hairstylists'],11212
False,Nigel's Beauty And Barber,,1.0,1,1wsyCnrJLnlyjR2RKdZgHQ,['barbers'],11212
False,CJ Candles and Soaps,,5.0,1,2SGDc98oXbwOCBD50q2XNw,['skincare'],11212
False,Absa African Hair Braiding,,1.0,1,1q_OI2xmQhDMxAERu_KLjg,['hair'],11212
False,Rose Beauty & Barber Salon,,5.0,1,diEP2zxxXb9GTcVg6przLA,['barbers'],11212
False,Happy-Minds Group Family Daycare,,5.0,2,ePJCY4Qp1tmGtYnsqrs9gA,"['preschools', 'childcare']",11212
False,Schulman and Schachne Institute for Nursing & Rehabilitation,,3.5,3,Xj-GPXXZEct7TO600dpxBQ,"['rehabilitation_center', 'nursingschools']",11212
