is_closed,name,price,rating,review_count,categories,id
False,US Post Office,,1.5,27,"[{'alias': 'postoffices', 'title': 'Post Offices'}, {'alias': 'shipping_centers', 'title': 'Shipping Centers'}]",UlW_epIfCtMmMG_Djs2Jeg
False,A.R.T./New York - South Oxford Space,,4.5,3,"[{'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}, {'alias': 'theater', 'title': 'Performing Arts'}]",2j1g0SaeOyzj0vpTc28R-Q
False,iStoreGreen,,2.0,14,"[{'alias': 'selfstorage', 'title': 'Self Storage'}]",HJA_jvVsMhGoxFL_l8pXuw
False,Asbestways Service,,5.0,1,"[{'alias': 'enviroabatement', 'title': 'Environmental Abatement'}, {'alias': 'environmentaltesting', 'title': 'Environmental Testing'}]",or3waOsbKkvVJ6mIxNCF9A
False,NY Angel Dry Cleaners,$$,3.5,3,"[{'alias': 'dryclean', 'title': 'Dry Cleaning'}]",0QZ80ykINPKW5E3zd-vBiQ
False,Pure Cleaners,$,3.0,9,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",sxqiS3A8RAY8fZeRw26QIQ
False,Hanson Place Cleaners,$$,2.5,21,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",gdb3wprMi6Vpu7pjGjCX4w
False,Wash & Play Lotto Laundromat,$$,2.5,15,"[{'alias': 'laundromat', 'title': 'Laundromat'}]",vxv7xVr2KsCZm3E4pbn8sw
False,Greene Ave Dry Cleaners,$,2.5,17,"[{'alias': 'dryclean', 'title': 'Dry Cleaning'}]",LlyIFQTsQhIHbRFtp-0wvA
False,Sun Cleaners,$,2.5,8,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",d0PuwiovNw4WV85am02-uw
False,Total Tool Rental,,3.0,6,"[{'alias': 'machinerental', 'title': 'Machine & Tool Rental'}]",Q0tL73qWB4UZfG5pBgo6Pg
False,Joseph Laundromat,,5.0,3,"[{'alias': 'laundromat', 'title': 'Laundromat'}]",kC4otRr9cu4JDvH7__yeKw
False,Rift Studios,,5.0,2,"[{'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}, {'alias': 'musicproduction', 'title': 'Music Production Services'}]",monWk1dLCieIYzIrQr5JoQ
False,Wash Cycle II,$,2.5,8,"[{'alias': 'laundromat', 'title': 'Laundromat'}]",Vs8jSdNPxdcrcsV34N5eQw
False,Yes Cleaners,$$,1.5,9,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",QMAWBnWiHMpOwl4X7RAu-w
False,Artistic Wood Crafts,,4.0,4,"[{'alias': 'furniturerepair', 'title': 'Furniture Repair'}]",Gvz0G2VmmtcoApM-jxP57A
False,Chinese Friends Laundry,,2.5,7,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",ZSR5lQ9kXzmFTaHYu6gSYA
False,Virtue And Vice Studios,,5.0,1,"[{'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}]",YSsF3vyciW84uPWrXlxPGw
False,Brooklyn Mobile Notary,,5.0,2,"[{'alias': 'notaries', 'title': 'Notaries'}]",CdojjWHjl0ObSUraa9Ku6A
False,Toto Boxes,,3.5,2,"[{'alias': 'movers', 'title': 'Movers'}, {'alias': 'couriers', 'title': 'Couriers & Delivery Services'}]",6m2pxSJRlbXkhW9SOewm_w
False,StorageMart,,2.0,11,"[{'alias': 'selfstorage', 'title': 'Self Storage'}]",FWB6aBSEM1cYz4BKbKkDqw
False,Ft Greene Cleaners,$$,3.0,4,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",PaLz5-uMMDbH-C6Orh_Eqw
False,three keys brooklyn,,5.0,4,"[{'alias': 'calligraphy', 'title': 'Calligraphy'}, {'alias': 'wedding_planning', 'title': 'Wedding Planning'}, {'alias': 'graphicdesign', 'title': 'Graphic Design'}]",oaZGrpXMl22ipSMEghWuRg
False,Park Avenue Funeral Home,,3.5,3,"[{'alias': 'funeralservices', 'title': 'Funeral Services & Cemeteries'}]",KF8by7oq_qde8m7U9BChVQ
False,MH Vacuum and Sewing Machines,$,5.0,1,"[{'alias': 'homeappliancerepair', 'title': 'Appliances & Repair'}, {'alias': 'appliances', 'title': 'Appliances'}]",TVgmsvUWQ28IjU4SHS7YiQ
False,Mango's Place Day Care,,3.5,7,"[{'alias': 'childcare', 'title': 'Child Care & Day Care'}]",NTN9X6BTNkI3kliNKIGeAA
False,Brooklyn Sporting Good,,4.0,1,"[{'alias': 'uniforms', 'title': 'Uniforms'}, {'alias': 'embroideryandcrochet', 'title': 'Embroidery & Crochet'}, {'alias': 'screen_printing_tshirt_printing', 'title': 'Screen Printing/T-Shirt Printing'}]",sMAIkF06bjpmpNLRSa9z9w
False,Sunshine Environmental Service LLC,,5.0,1,"[{'alias': 'environmentaltesting', 'title': 'Environmental Testing'}]",8FDL5tgfx_-1QOGxdzEdMQ
False,S & S Cleaners,,5.0,1,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",-bc9f9BBrgsNbV07OtNRMg
False,Yes Cleaners,,2.0,6,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",ZKMO5oRz_mCoSmMczmAuJw
False,Bumpy's Room Studio,,5.0,1,"[{'alias': 'recording_studios', 'title': 'Recording & Rehearsal Studios'}, {'alias': 'videofilmproductions', 'title': 'Video/Film Production'}]",vEDZwl5-rXuJwsO2isr4wQ
False,Bob & Sons Refinishing,,2.0,4,"[{'alias': 'reupholstery', 'title': 'Furniture Reupholstery'}]",CnoizpdrgFyvEI_vKhx3jw
False,Big Apple Cleaners,$$,3.0,4,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",XOWd7Ju4u2WzgrrEu2cncA
False,Tabernacle Day Care Center,,4.5,3,"[{'alias': 'childcare', 'title': 'Child Care & Day Care'}]",Xg5BJvEt-hc6oICnNXgkdg
False,Sam's Cleaner,$$,1.5,12,"[{'alias': 'laundryservices', 'title': 'Laundry Services'}]",XaLiEN0y5JPZg-fkjbP04w
False,Laundromat,$,2.0,3,"[{'alias': 'laundromat', 'title': 'Laundromat'}]",ubOi8fHSWVuOHOuKO1pNIQ
False,Hanson Place Child Development Center,,2.5,3,"[{'alias': 'childcare', 'title': 'Child Care & Day Care'}]",S8twSkXSUT7RlrfiohRSeQ
False,Eladia's Kids,,1.0,1,"[{'alias': 'childcare', 'title': 'Child Care & Day Care'}, {'alias': 'preschools', 'title': 'Preschools'}]",u6ETvGB316k2BlB4WT_cIQ
False,Newton's Laundromat,,3.0,1,"[{'alias': 'laundromat', 'title': 'Laundromat'}]",FuYBZP68t8BiJ8Hfkamf3A
False,Islamic Funeral Services,,1.0,1,"[{'alias': 'funeralservices', 'title': 'Funeral Services & Cemeteries'}]",DxBUdi3DBNBe2RAap6qZ2w
False,Ezrenting,,5.0,2,"[{'alias': 'localservices', 'title': 'Local Services'}]",EN379pMsxp02OBNxNp3M9w
False,Thompson's Carpet & Upholstery Cleaning,,1.0,1,"[{'alias': 'carpet_cleaning', 'title': 'Carpet Cleaning'}, {'alias': 'flooring', 'title': 'Flooring'}, {'alias': 'officecleaning', 'title': 'Office Cleaning'}]",S9l9nciGvVAtNbVxzZV94Q
False,Deluxe Cycles,,5.0,1,"[{'alias': 'bike_repair_maintenance', 'title': 'Bike Repair/Maintenance'}, {'alias': 'bikes', 'title': 'Bikes'}]",ZBRz5FJMG7-G4wGW2UpHyQ
False,Big City Printing Services,,3.0,6,"[{'alias': 'copyshops', 'title': 'Printing Services'}]",1P_-krpYfjQQEeIR7G4ePA
False,Dekalb Funeral Services,,1.0,2,"[{'alias': 'funeralservices', 'title': 'Funeral Services & Cemeteries'}]",mjGaHprKj-fA9LuKPeeYVA
False,Golden Cleaning Services,,3.0,2,"[{'alias': 'officecleaning', 'title': 'Office Cleaning'}, {'alias': 'homecleaning', 'title': 'Home Cleaning'}, {'alias': 'carpet_cleaning', 'title': 'Carpet Cleaning'}]",e42uXNp2cajdRVkkHjFjDQ
False,Dragas IT,,5.0,1,"[{'alias': 'datarecovery', 'title': 'Data Recovery'}]",Nw1TrVBOycQRJOr5iD2WDA
False,Convenience Laundry Mat,,2.5,4,"[{'alias': 'laundromat', 'title': 'Laundromat'}]",goopweTA-DGT7VlaEfrasQ
False,Black Veterans For Social Justice,,1.0,1,"[{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}]",slaBeklRSMOHj-q2RGwutA
False,Sure Kol Refrigerator,,5.0,1,"[{'alias': 'homeappliancerepair', 'title': 'Appliances & Repair'}]",XVBo25P5sYgyES4vWmaWGA
False,Grape Day Care,,5.0,1,"[{'alias': 'childcare', 'title': 'Child Care & Day Care'}, {'alias': 'preschools', 'title': 'Preschools'}]",AMWvIYyhipETkjt45hBOzQ
False,TheComputerStore,$$,5.0,2,"[{'alias': 'computers', 'title': 'Computers'}, {'alias': 'itservices', 'title': 'IT Services & Computer Repair'}]",13mGlB0vg6v1rKE9UlCEKw
False,IT Shop,,5.0,5,"[{'alias': 'mobilephonerepair', 'title': 'Mobile Phone Repair'}, {'alias': 'securitysystems', 'title': 'Security Systems'}]",SDL5m25ORJ4Lr_PWfbw4Tw
False,GoLocker,,5.0,1,"[{'alias': 'couriers', 'title': 'Couriers & Delivery Services'}]",VKHmZ_qwK1fYZm3yFoV8jQ
False,Dorm2Dorm,,5.0,1,"[{'alias': 'selfstorage', 'title': 'Self Storage'}, {'alias': 'movers', 'title': 'Movers'}]",L7ASqMRnSyX_qFZbInbBSw
False,Rest Easy Pest Control,,1.0,2,"[{'alias': 'pest_control', 'title': 'Pest Control'}]",veBuibvGTXjEjVwgXpB77Q
False,Sears Appliance Repair,,1.0,2,"[{'alias': 'homeappliancerepair', 'title': 'Appliances & Repair'}, {'alias': 'electronicsrepair', 'title': 'Electronics Repair'}, {'alias': 'waterheaterinstallrepair', 'title': 'Water Heater Installation/Repair'}]",_8lqN_zlGV9LlwrffW5XYA
False,Radix Media,,5.0,40,"[{'alias': 'copyshops', 'title': 'Printing Services'}, {'alias': 'printmedia', 'title': 'Print Media'}, {'alias': 'graphicdesign', 'title': 'Graphic Design'}]",qWhNrvMQKS6sI5TAcp5tPw
