is_closed,name,price,rating,review_count,categories,id
False,Prospect Park,,4.5,517,"[{'alias': 'parks', 'title': 'Parks'}]",Mn_as8S7-fJjahyn4AF6Pw
False,Brooklyn Bridge Park,,4.5,464,"[{'alias': 'parks', 'title': 'Parks'}]",riGhXci7Xo-Gp9gtl5IBYA
False,Brooklyn Heights Promenade,,5.0,292,"[{'alias': 'parks', 'title': 'Parks'}]",PAqdplgKhagEx9ewNDxjZw
False,Prospect Park Zoo,,4.0,141,"[{'alias': 'zoos', 'title': 'Zoos'}]",1Vs4yKEH6xPHlarnhXRHQQ
False,Gotham Archery,,5.0,156,"[{'alias': 'archery', 'title': 'Archery'}, {'alias': 'eventservices', 'title': 'Event Planning & Services'}]",vE6abbpbdA5cO2gaIFKMVA
False,Mission Escape Games,,5.0,400,"[{'alias': 'escapegames', 'title': 'Escape Games'}, {'alias': 'teambuilding', 'title': 'Team Building Activities'}]",33sV1AC_s-h0ckLvyO34Hw
False,Brooklyn Boulders,,4.0,498,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'rock_climbing', 'title': 'Rock Climbing'}, {'alias': 'yoga', 'title': 'Yoga'}]",8b4xgDOH4bextUIFJ-megw
False,Destination Backcountry Adventures,,5.0,78,"[{'alias': 'hiking', 'title': 'Hiking'}, {'alias': 'rafting', 'title': 'Rafting/Kayaking'}, {'alias': 'yoga', 'title': 'Yoga'}]",G2ovzkq8QmCyFne5gomWag
False,Governors Island National Monument,,4.5,270,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'parks', 'title': 'Parks'}]",NU0PxRWTYoLKZRTy9JT_jg
False,Washington Square Park,,4.5,505,"[{'alias': 'parks', 'title': 'Parks'}]",bJQZKARP-Xn2AEqNNMe9OA
False,LeFrak Center at Lakeside,,4.0,85,"[{'alias': 'skatingrinks', 'title': 'Skating Rinks'}, {'alias': 'recreation', 'title': 'Recreation Centers'}, {'alias': 'parks', 'title': 'Parks'}]",uTeHkxMwhNE0HpyDZCgBOQ
False,Third Eye Yoga,,5.0,57,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'health', 'title': 'Health & Medical'}, {'alias': 'lifecoach', 'title': 'Life Coach'}]",UWdHlHrXLCY2AmfSnNJQZA
False,Ride Brooklyn,$$,4.5,182,"[{'alias': 'bikerentals', 'title': 'Bike Rentals'}, {'alias': 'bikes', 'title': 'Bikes'}, {'alias': 'outdoorgear', 'title': 'Outdoor Gear'}]",CRGUiRELrqw2B4X2lW8SLw
False,Jane's Carousel,,5.0,117,"[{'alias': 'carousels', 'title': 'Carousels'}]",FxRbVWHGPi2ZCzpu1_y_aA
False,Kick Axe Throwing,,5.0,80,"[{'alias': 'axethrowing', 'title': 'Axe Throwing'}]",X0DNGKUQPjf0AfaXfXU2Qg
False,Brooklyn Bowl,$$,3.5,1143,"[{'alias': 'bowling', 'title': 'Bowling'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",wQFq2ZbUG40H1KfXTjgkBw
False,Third Root Community Health Center,,5.0,65,"[{'alias': 'acupuncture', 'title': 'Acupuncture'}, {'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]",zD56x_lNYi1gooDNmNNtLw
False,YogaSole,,5.0,32,"[{'alias': 'yoga', 'title': 'Yoga'}]",8na-SSDiDFTFsIgPHOViXA
False,Harbor Fitness,,4.5,157,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'cyclingclasses', 'title': 'Cycling Classes'}]",QoJkq15vmAbTurjBfcjHpw
False,The Battery,,4.5,319,"[{'alias': 'parks', 'title': 'Parks'}]",-qMrl4pSdhyvaUEw_sgbng
False,Sacred Studio,,4.5,122,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'dancestudio', 'title': 'Dance Studios'}, {'alias': 'acupuncture', 'title': 'Acupuncture'}]",m6iFADo3nqd3S3jITLjo_g
False,CrossFit South Brooklyn,,5.0,50,"[{'alias': 'intervaltraininggyms', 'title': 'Interval Training Gyms'}]",tAEY5z1dWCbWtS8ep_55ow
