is_closed,name,price,rating,review_count,categories,id
False,Hoodwinked Escape,,4.5,72,"[{'alias': 'escapegames', 'title': 'Escape Games'}]",EWI4AuNQ39-qzppUCfYeGA
False,Larry's Freewheeling,$$,4.5,108,"[{'alias': 'bike_repair_maintenance', 'title': 'Bike Repair/Maintenance'}, {'alias': 'bikerentals', 'title': 'Bike Rentals'}, {'alias': 'bikes', 'title': 'Bikes'}]",00rrqw4O0Flfatd0VV6QAg
False,West Side Taekwondo,,5.0,15,"[{'alias': 'taekwondo', 'title': 'Taekwondo'}]",Oq6s22QK14dCzjGRhHxivA
False,iLoveKickboxing.com,,3.5,43,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'kickboxing', 'title': 'Kickboxing'}]",CnY_KPqSuKIFCZHsQDRG6g
False,Blink Fitness,,3.0,58,"[{'alias': 'gyms', 'title': 'Gyms'}]",v1oSEKjF7EQGLQHR-zVPtw
False,Dekhana Wellness,,5.0,10,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'nutritionists', 'title': 'Nutritionists'}]",wI-L5F6xYAoZshzEbkml_w
False,Groovefit,,5.0,5,"[{'alias': 'dancestudio', 'title': 'Dance Studios'}, {'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'dance_schools', 'title': 'Dance Schools'}]",NUXdi_-IW-82POp0GSyk8Q
False,New York Sports Clubs,,3.0,48,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",G3Pi--DpJcsV5xS4HWp8Qw
False,enduranceWERX,,5.0,3,"[{'alias': 'cyclingclasses', 'title': 'Cycling Classes'}]",FynVmv0uXctU4hw-vx_PKA
False,Land Yoga,,4.0,14,"[{'alias': 'yoga', 'title': 'Yoga'}]",ryhxaXvnYvDJiNYQqLKFTQ
False,Splash Fit Swimming,,5.0,11,"[{'alias': 'swimminglessons', 'title': 'Swimming Lessons/Schools'}]",TW4yB-pC4vy6RSJrloL7VA
False,Charles A. Dana Discovery Center,,4.5,4,"[{'alias': 'parks', 'title': 'Parks'}]",JA8vReW-Tquw_gH380znuA
False,The Bridge Golf Learning Center,,5.0,2,"[{'alias': 'golflessons', 'title': 'Golf Lessons'}, {'alias': 'golf', 'title': 'Golf'}]",hl2Wn-g6cq_0ok2cst9gMA
False,CityFly,,5.0,1,"[{'alias': 'fishing', 'title': 'Fishing'}]",dxbChBpoHDeQTy7wyCeTfg
