is_closed,name,price,rating,review_count,categories,id
False,The Cobra Club,$,4.0,111,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'bars', 'title': 'Bars'}]",QjgcZ3n9zrFYN4MLVOetJw
False,Daya Yoga Studio,,5.0,38,"[{'alias': 'yoga', 'title': 'Yoga'}]",xZNpQn19vydiLvKtDd-FOA
False,Haven Cycles,$,5.0,20,"[{'alias': 'bike_repair_maintenance', 'title': 'Bike Repair/Maintenance'}, {'alias': 'bikes', 'title': 'Bikes'}, {'alias': 'bikerentals', 'title': 'Bike Rentals'}]",PjiPxVU3u7DwE6smupHG_w
False,Loom Yoga,,5.0,36,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'pilates', 'title': 'Pilates'}]",6LR6FxZOcqzK-5Oe41Yqag
False,Maria Hernandez Park,,4.0,27,"[{'alias': 'parks', 'title': 'Parks'}]",AkuKibOJqL9lr4BYmuv5LA
False,Jai Yoga Arts,,5.0,34,"[{'alias': 'yoga', 'title': 'Yoga'}]",c-4INfMw1X42Z3mve-kAsQ
False,goodyoga,,4.5,20,"[{'alias': 'yoga', 'title': 'Yoga'}]",3sQJctY5jo7-H_Jsrn44Wg
False,Bushwick Crossfit,,5.0,12,"[{'alias': 'intervaltraininggyms', 'title': 'Interval Training Gyms'}]",rVSDyMKWSP_qpJpaAWpnLg
False,Kali Ma : Triple Goddess Tarot and Healing,,4.5,15,"[{'alias': 'reiki', 'title': 'Reiki'}, {'alias': 'meditationcenters', 'title': 'Meditation Centers'}, {'alias': 'psychics', 'title': 'Psychics'}]",rphysRA5Y78R2Cfp9lafRA
False,101 Wilson,$,5.0,12,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'skate_parks', 'title': 'Skate Parks'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]",MdSAmDJ9a5XSUPTktweIhQ
False,Richie's Gym,,4.0,47,"[{'alias': 'gyms', 'title': 'Gyms'}]",BhbJPzSKo1ZqktbndgS2ug
False,Brotherhood Boxing,,4.5,9,"[{'alias': 'boxing', 'title': 'Boxing'}]",HBS1QWZ4rXagXYJdcUrZrg
False,Planet Fitness - Queens - Wyckoff,,2.5,75,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",Q-ycrPfs_eSJUJzYxIM24A
False,Green Fitness Studio,,2.5,59,"[{'alias': 'boxing', 'title': 'Boxing'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}, {'alias': 'yoga', 'title': 'Yoga'}]",FhPlrjEQtmb9Tixr9ffCPQ
False,Manifest Bodyworks,,5.0,6,"[{'alias': 'pilates', 'title': 'Pilates'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]",k4lW6ii3bqHoq28faybntA
False,Blink Fitness,,3.0,24,"[{'alias': 'gyms', 'title': 'Gyms'}]",SdnR2SZOUrH4p-MNpZvbkw
False,Loom Pilates Studio,,5.0,3,"[{'alias': 'barreclasses', 'title': 'Barre Classes'}, {'alias': 'pilates', 'title': 'Pilates'}]",hdtnHbfsfyF4fP1_w3pWAw
False,Maria Hernandez Dog Run,,4.0,5,"[{'alias': 'dog_parks', 'title': 'Dog Parks'}]",F3bId9eMBXuuV2lGtO1t-w
False,Grover Cleveland Park,,4.0,8,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",j9OTEpj3DsxxpEtku3CD9g
