is_closed,name,price,rating,review_count,categories,id
False,Fit4Dance,,5.0,28,"[{'alias': 'dancestudio', 'title': 'Dance Studios'}]",GNj9XqjoLBtaas966ir5fQ
False,Amayasana Yoga,,5.0,28,"[{'alias': 'yoga', 'title': 'Yoga'}]",5mk_kStr8boSHQboN5Ldpg
False,And Yoga Studios,,4.5,27,"[{'alias': 'yoga', 'title': 'Yoga'}]",dhg9tWiKlwuoL23eIEel6A
False,Blink Fitness,,3.0,66,"[{'alias': 'gyms', 'title': 'Gyms'}]",w3MVYZjVaFOaZ4fw8nTcWg
False,Blink Fitness,,3.5,33,"[{'alias': 'gyms', 'title': 'Gyms'}]",ak4KZi4D6LTO-iMKO87Qhw
False,St. John's Recreation Center,,4.0,12,"[{'alias': 'recreation', 'title': 'Recreation Centers'}]",_pzqjXGMtuL5dbAMm5Yeww
False,Moor Unlimited,,5.0,3,"[{'alias': 'lifecoach', 'title': 'Life Coach'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'cookingclasses', 'title': 'Cooking Classes'}]",alCK2J6EBvifZus5SvwCTA
False,Goodwin Barbell Club,,5.0,9,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'gyms', 'title': 'Gyms'}]",NCdTamDDSFQYRFEFBmNKnQ
False,Crunch - Crown Heights,,3.5,45,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'yoga', 'title': 'Yoga'}]",xdXgfMFSigdQdtO3soqMiA
False,Blink Fitness,,3.5,24,"[{'alias': 'gyms', 'title': 'Gyms'}]",uE2QQ4REKWjmKKpkRTAjBA
False,Brower Park,,4.5,11,"[{'alias': 'parks', 'title': 'Parks'}]",VfvhHz-KlwaWcTCpDPKFbw
False,Stacked Yoga,,4.5,7,"[{'alias': 'yoga', 'title': 'Yoga'}]",_EsH83xo69NljjvU2hp3Bw
False,Rosie Yoga and Pilates,,5.0,6,"[{'alias': 'pilates', 'title': 'Pilates'}, {'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'massage_therapy', 'title': 'Massage Therapy'}]",KPxlMp7Gcv8_sJnAyv_rSg
False,Saratoga Park,,3.5,8,"[{'alias': 'parks', 'title': 'Parks'}]",qgCBQh7_qRLGLfP6ebPT8Q
False,Herbert Von King Park,,3.0,28,"[{'alias': 'playgrounds', 'title': 'Playgrounds'}, {'alias': 'dog_parks', 'title': 'Dog Parks'}]",4toXQ8zMamoZJ-hbr1TpGA
False,Brooklyn Greens,,5.0,10,"[{'alias': 'golflessons', 'title': 'Golf Lessons'}, {'alias': 'golf', 'title': 'Golf'}]",TpboA_lkxecGBikywAwY6g
False,Planet Fitness - Brooklyn - Rockaway Ave.,,3.5,10,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",JXgvm8ViGyvemBBXYFv4fQ
