is_closed,name,price,rating,review_count,categories,id
False,Brooklyn Heights Promenade,,5.0,292,"[{'alias': 'parks', 'title': 'Parks'}]",PAqdplgKhagEx9ewNDxjZw
False,Brooklyn Bridge Park,,4.5,464,"[{'alias': 'parks', 'title': 'Parks'}]",riGhXci7Xo-Gp9gtl5IBYA
False,Xtend Barre Brooklyn Heights,,5.0,52,"[{'alias': 'barreclasses', 'title': 'Barre Classes'}]",95uCEYbmFJaaCPLEVld6Xg
False,Krank-BK,,5.0,43,"[{'alias': 'weightlosscenters', 'title': 'Weight Loss Centers'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'gyms', 'title': 'Gyms'}]",__dyA-P1UtDLyubNh05V8A
False,The Bar Method,,4.5,90,"[{'alias': 'barreclasses', 'title': 'Barre Classes'}]",zygtalW0RfOQ0NlKwH9bPw
False,Tangerine Hot Power Yoga,,4.5,76,"[{'alias': 'yoga', 'title': 'Yoga'}]",qbMYHBtuIGK4zpOHGAKyjA
False,Yoga Pole Studio,,5.0,22,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'poledancingclasses', 'title': 'Pole Dancing Classes'}, {'alias': 'aerialfitness', 'title': 'Aerial Fitness'}]",hhX--bDltqJXw4oxoOoeSA
False,Mala Yoga,,4.5,43,"[{'alias': 'yoga', 'title': 'Yoga'}]",FDcdWyWLiDDQNvzmLciyJA
False,SoulCycle - Brooklyn Heights,,4.0,37,"[{'alias': 'cyclingclasses', 'title': 'Cycling Classes'}]",BRM7tqDyHgsQHn49vGNXAQ
False,Equinox Brooklyn Heights,$$$,3.5,91,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'spas', 'title': 'Day Spas'}, {'alias': 'sports_clubs', 'title': 'Sports Clubs'}]",cqrir4Q-dYrGP9YFtyiEpg
False,Heatwise,,4.5,14,"[{'alias': 'yoga', 'title': 'Yoga'}]",IbUJkh-yP-tuaVgTthn-zQ
False,Dance Connection,,5.0,25,"[{'alias': 'dancestudio', 'title': 'Dance Studios'}]",wE3zxuewidBj-eJWERHFgw
False,Brooklyn Bridge Park Pier 6,,4.5,38,"[{'alias': 'parks', 'title': 'Parks'}]",rqE4IE6QQTr1-VCgrzu1Hg
False,Hidden Gems Archery,,4.5,26,"[{'alias': 'archery', 'title': 'Archery'}]",nOLAJMTeijrXoDi8VLY69A
False,Dodge YMCA,,3.0,86,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'childcare', 'title': 'Child Care & Day Care'}]",t19PGiyf9bY_-CYBLF5qoQ
False,Pier 2 At Brooklyn Bridge Park,,4.0,32,"[{'alias': 'skatingrinks', 'title': 'Skating Rinks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}, {'alias': 'recreation', 'title': 'Recreation Centers'}]",forz1PA0yz3WdZ0i6vt1VQ
False,Brooklyn Bridge Park Pier 5,,4.5,31,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'football', 'title': 'Soccer'}]",B0eGzbgeVIhxninyFILzlQ
False,CKO Kickboxing Park Slope,,5.0,45,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'boxing', 'title': 'Boxing'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",NeTL2s8vZ25z_EuBHHAo7A
False,Mark Darco Fitness,,5.0,13,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'boxing', 'title': 'Boxing'}]",eEJnhgyhaUOn1NbsF1Ts1w
False,Hillside Dog Park,,4.5,44,"[{'alias': 'dog_parks', 'title': 'Dog Parks'}]",Sh2374XVH8zXlO0ZOcZfSw
False,Henry St. Pilates,,5.0,20,"[{'alias': 'pilates', 'title': 'Pilates'}]",_W4UlF2kVBtJlHCaYksJ0Q
False,Cadman Plaza Park,,4.0,18,"[{'alias': 'parks', 'title': 'Parks'}]",hb0rKU4pQ1gj50R3QWTysw
False,Yelp Brooklyn Fit Club,,5.0,8,"[{'alias': 'active', 'title': 'Active Life'}, {'alias': 'yelpevents', 'title': 'Yelp Events'}]",p6_T1bItCusPBEaoUe7jow
False,Manhattan Athletic Club - Brooklyn,,4.5,14,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'pilates', 'title': 'Pilates'}]",cyaM9MzkPFnyaYJTSqwN3Q
False,Building Bridges Preschool,,5.0,20,"[{'alias': 'preschools', 'title': 'Preschools'}, {'alias': 'summer_camps', 'title': 'Summer Camps'}]",IhECdTzDARy8A5gdSS-Ccg
False,New York Sports Clubs,,2.0,128,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",JN0iqiplT5JqDbo_RvvSeA
False,Area Yoga,,4.0,14,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'massage', 'title': 'Massage'}]",hBAqIfLiYMJhpTMkPjKBxw
False,YogaWorks Brooklyn Heights,,3.0,46,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'barreclasses', 'title': 'Barre Classes'}, {'alias': 'pilates', 'title': 'Pilates'}]",6jt4L3Uh0-KxW1Jpz7z0NQ
False,Yoga Vida - Dumbo,,4.5,16,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'reiki', 'title': 'Reiki'}]",rHgu6ONRMqBP7q9dYKixhQ
False,Naomi's Music,$$,5.0,7,"[{'alias': 'musicalinstrumentsandteachers', 'title': 'Musical Instruments & Teachers'}, {'alias': 'kids_activities', 'title': 'Kids Activities'}]",oC_pBXsD-KvllzYozmA88Q
False,Beat The Bomb,,4.5,37,"[{'alias': 'escapegames', 'title': 'Escape Games'}, {'alias': 'arcades', 'title': 'Arcades'}]",qOsRHWy2MPuyKhcDwaHBZA
False,Blink Fitness,,3.5,44,"[{'alias': 'gyms', 'title': 'Gyms'}]",Nv_FGjrROj3RdCwYrIV_MQ
False,New York Sports Clubs,,2.5,139,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",dY6pHrtQBCjIG0GP5fOCnw
False,Gleason's Gym,,4.5,19,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'boxing', 'title': 'Boxing'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",WzFLaf_59vDo-5P1Xyn3-A
False,Everyday Athlete,,4.5,17,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'climbing', 'title': 'Climbing'}, {'alias': 'daycamps', 'title': 'Day Camps'}]",RPqX6GUj_Cn8gEnwVLmQOA
False,Pier 6 Playgrounds,,4.0,33,"[{'alias': 'playgrounds', 'title': 'Playgrounds'}]",wJ7oq7a5dK6jpsvckVOxhQ
False,Eastern Athletic Clubs,,3.0,43,"[{'alias': 'gyms', 'title': 'Gyms'}]",mut-NtsrMsR_B9fXBeUy3w
False,Planet Fitness - Brooklyn - Duffield,,2.5,74,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",cd3eETpGa3SppPZ7HgQf2Q
False,Body & Brain - Brooklyn Heights,,4.0,13,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'taichi', 'title': 'Tai Chi'}]",rGlE5QOCYtA_cQWeXjnenA
False,Orangetheory Fitness Brooklyn - Brooklyn Heights,,4.0,15,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'bootcamps', 'title': 'Boot Camps'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",2_RfYqUTaIZoXEbuS7EppA
False,Brooklyn Total Fitness,,5.0,14,"[{'alias': 'boxing', 'title': 'Boxing'}, {'alias': 'martialarts', 'title': 'Martial Arts'}, {'alias': 'bootcamps', 'title': 'Boot Camps'}]",D9DqyD6KCVKpkEQnLWX8QA
