is_closed,name,price,rating,review_count,categories,id
False,Destination Backcountry Adventures,,5.0,78,"[{'alias': 'hiking', 'title': 'Hiking'}, {'alias': 'rafting', 'title': 'Rafting/Kayaking'}, {'alias': 'yoga', 'title': 'Yoga'}]",G2ovzkq8QmCyFne5gomWag
False,Melody Lanes,,3.5,171,"[{'alias': 'bowling', 'title': 'Bowling'}]",_soeLA6EY2tpqmW6_7-MEw
False,Sunset Park,,4.0,61,"[{'alias': 'parks', 'title': 'Parks'}]",tGUT0YuByQDWqvmgofwPjA
False,Harbor Fitness,,4.5,157,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'cyclingclasses', 'title': 'Cycling Classes'}]",QoJkq15vmAbTurjBfcjHpw
False,Shipwrecked Miniature Golf,,4.5,119,"[{'alias': 'mini_golf', 'title': 'Mini Golf'}]",3--OzlBz9Frh8J0NTlsslQ
False,Third Eye Yoga,,5.0,57,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'health', 'title': 'Health & Medical'}, {'alias': 'lifecoach', 'title': 'Life Coach'}]",UWdHlHrXLCY2AmfSnNJQZA
False,Align Brooklyn,,5.0,63,"[{'alias': 'pilates', 'title': 'Pilates'}, {'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'barreclasses', 'title': 'Barre Classes'}]",-nnWbNS9gaZdfoDAa1OjdQ
False,Amerikick,,5.0,30,"[{'alias': 'martialarts', 'title': 'Martial Arts'}]",A11CDRRL4MParrVGB9yjNg
False,CKO Kickboxing Carroll Gardens,,5.0,62,"[{'alias': 'boxing', 'title': 'Boxing'}, {'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",2bsXe7YsO10zqmyjk1jmYw
False,Mr. C's Cycles,$$,4.0,51,"[{'alias': 'bikerentals', 'title': 'Bike Rentals'}, {'alias': 'bikes', 'title': 'Bikes'}, {'alias': 'bike_repair_maintenance', 'title': 'Bike Repair/Maintenance'}]",giW0V31WrrkNGtSpMH4BqQ
False,iLoveKickboxing.com,,4.5,31,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'kickboxing', 'title': 'Kickboxing'}]",sMGw-8AeTqmAz3MAYsR8kg
False,Very Personal Training,,5.0,36,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'nutritionists', 'title': 'Nutritionists'}, {'alias': 'yoga', 'title': 'Yoga'}]",zC9wyZ9J7q0456gRyo_qew
False,CrossFit 718,,5.0,10,"[{'alias': 'intervaltraininggyms', 'title': 'Interval Training Gyms'}]",b326Oh3vpr48e4fSS-nROg
False,Bicycle Habitat,$$,3.5,104,"[{'alias': 'bikes', 'title': 'Bikes'}, {'alias': 'bikerentals', 'title': 'Bike Rentals'}, {'alias': 'bike_repair_maintenance', 'title': 'Bike Repair/Maintenance'}]",zllMm7azovUjN-zvnHlF3w
False,Sweatbox Brooklyn,,5.0,9,"[{'alias': 'boxing', 'title': 'Boxing'}]",Lszm-geabdAL5iLiVSXUnw
False,Park Slope Academy of Brazilian Jiu-Jitsu,,4.5,45,"[{'alias': 'brazilianjiujitsu', 'title': 'Brazilian Jiu-jitsu'}]",T5BJbdyexSI900qAAPFilg
False,I Am Yoga,,4.5,19,"[{'alias': 'yoga', 'title': 'Yoga'}]",fnLghAx6aZQVp1XhZkNgfA
False,Ardon Sweet Science Gym,,5.0,8,"[{'alias': 'boxing', 'title': 'Boxing'}, {'alias': 'muaythai', 'title': 'Muay Thai'}, {'alias': 'gyms', 'title': 'Gyms'}]",YhYVsDT_c3MyJscVp1ttPQ
False,Pongo Power,,5.0,22,"[{'alias': 'healthtrainers', 'title': 'Trainers'}]",-3IeoUTRfhRKAI4bUGb6-w
False,Prospect Park Branch YMCA,,3.5,92,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'swimmingpools', 'title': 'Swimming Pools'}, {'alias': 'yoga', 'title': 'Yoga'}]",kkB-tgG_FJOJraCM0z4Jlw
False,Jaya Yoga Center,,5.0,17,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'health', 'title': 'Health & Medical'}]",E092YconStMNitPhhfr5Gg
False,Bush Terminal Park,,4.0,17,"[{'alias': 'parks', 'title': 'Parks'}]",ds-HXsl8739D3YL1oDsThw
False,Bad Ass Academy,,4.5,31,"[{'alias': 'bootcamps', 'title': 'Boot Camps'}, {'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",Hx5lNPcJwH-GH6N-Iv9QQg
False,Red Hook Recreation Center,,4.0,28,"[{'alias': 'recreation', 'title': 'Recreation Centers'}]",yeMEqkWdmJntbhUZTjN4lQ
False,Solar Yoga Ashram,,5.0,12,"[{'alias': 'yoga', 'title': 'Yoga'}]",RCpKrIt7lFjK-r1Y8k-XIQ
False,Precious Stone Chinese Qi Gong Tui-na Body Work Health Center,,4.5,21,"[{'alias': 'qigong', 'title': 'Qi Gong'}, {'alias': 'tuina', 'title': 'Tui Na'}]",6Bvqsv5NcyrXIzwwcL6hmQ
False,Arnolds Bicycles & Trains,$,4.5,10,"[{'alias': 'sportgoods', 'title': 'Sporting Goods'}, {'alias': 'bikerentals', 'title': 'Bike Rentals'}]",cD4rAwhaZbeufSL8Xs3UIg
False,Pop Up Tennis Kids,,5.0,15,"[{'alias': 'tennis', 'title': 'Tennis'}, {'alias': 'kids_activities', 'title': 'Kids Activities'}]",y0fFhCJXQhhp3VneZK3xOg
False,Coach Fury,,5.0,10,"[{'alias': 'healthtrainers', 'title': 'Trainers'}]",tLwMsGwCMQEAdqfw4qFrvQ
False,Park Slope Armory YMCA,,3.0,63,"[{'alias': 'fitness', 'title': 'Fitness & Instruction'}, {'alias': 'artclasses', 'title': 'Art Classes'}]",CLyWyZ4UceDFShh7QeuTRw
False,BK Fitness Center,,5.0,5,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'gyms', 'title': 'Gyms'}]",_BDbVC3Wee0ozLwQcMsvHw
False,New Leaf Yoga & Pilates,,4.5,29,"[{'alias': 'pilates', 'title': 'Pilates'}, {'alias': 'yoga', 'title': 'Yoga'}]",m3-WsfPwsjEwhqk0-2Rmig
False,Pilates Garage,,5.0,10,"[{'alias': 'pilates', 'title': 'Pilates'}]",BNtPVYQl1_5rlosEIoEhSg
False,Rise Brooklyn Fitness,,5.0,9,"[{'alias': 'bootcamps', 'title': 'Boot Camps'}, {'alias': 'boxing', 'title': 'Boxing'}, {'alias': 'martialarts', 'title': 'Martial Arts'}]",Muwd2nEnpEWqjd0fDmUJEQ
False,Active Brooklyn,,5.0,14,"[{'alias': 'healthtrainers', 'title': 'Trainers'}]",O6PkiQrClcmg6TULnLaqzw
False,Beast Fitness Evolved,,4.5,7,"[{'alias': 'intervaltraininggyms', 'title': 'Interval Training Gyms'}]",5Gvc_S-S2j-8BYgvmMFtmQ
False,Happy Cafe and playground,,4.5,11,"[{'alias': 'kids_activities', 'title': 'Kids Activities'}]",8NKKRYFhoqFZ0qGW1IAeWg
False,La Nueva Salsa de Hoy Dance Studio,,5.0,6,"[{'alias': 'dancestudio', 'title': 'Dance Studios'}]",htox6BRUkiAsaTQzABqMtg
False,Brooklyn Game Lab,,4.5,8,"[{'alias': 'kids_activities', 'title': 'Kids Activities'}, {'alias': 'daycamps', 'title': 'Day Camps'}]",oyLLEFECTvPe7EKE9qbTDA
False,Richie's Gym,,3.0,15,"[{'alias': 'gyms', 'title': 'Gyms'}]",XyRWprGWgrGOF-qYkkdUJg
False,Jake's Fitness,,5.0,12,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'gyms', 'title': 'Gyms'}]",qqpepqu7bz5ruM1AEtdXhQ
False,New York Sports Clubs,,2.0,125,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}]",USCFcE_o64AnxMCknzuxuw
False,Bodiesynergy - Prospect Park,,5.0,10,"[{'alias': 'bootcamps', 'title': 'Boot Camps'}, {'alias': 'circuittraininggyms', 'title': 'Circuit Training Gyms'}]",IdPQjScyyl0Gzd4LbfZdzA
False,Washington Park / JJ Byrne Playground,,3.5,26,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'playgrounds', 'title': 'Playgrounds'}]",n-EJ5N71jUrYzHXy_dZqQQ
False,Ellie Herman Studio Annex,,4.5,18,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'pilates', 'title': 'Pilates'}, {'alias': 'barreclasses', 'title': 'Barre Classes'}]",3zgOtsf6KYwliNMJtwBo0A
