is_closed,name,price,rating,review_count,categories,id
False,The Cobra Club,$,4.0,111,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'bars', 'title': 'Bars'}]",QjgcZ3n9zrFYN4MLVOetJw
False,Daya Yoga Studio,,5.0,38,"[{'alias': 'yoga', 'title': 'Yoga'}]",xZNpQn19vydiLvKtDd-FOA
False,Loom Yoga,,5.0,36,"[{'alias': 'yoga', 'title': 'Yoga'}, {'alias': 'pilates', 'title': 'Pilates'}]",6LR6FxZOcqzK-5Oe41Yqag
False,Amayasana Yoga,,5.0,28,"[{'alias': 'yoga', 'title': 'Yoga'}]",5mk_kStr8boSHQboN5Ldpg
False,Physical Culture Collective,,5.0,22,"[{'alias': 'martialarts', 'title': 'Martial Arts'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'boxing', 'title': 'Boxing'}]",--3kLXdVcWt_HuhyyWwHOw
False,Sourced Adventures,,4.5,216,"[{'alias': 'rafting', 'title': 'Rafting/Kayaking'}, {'alias': 'skiresorts', 'title': 'Ski Resorts'}, {'alias': 'travelservices', 'title': 'Travel Services'}]",c4ZKcfjVwhf6njdckfxGPg
False,Haven Cycles,$,5.0,20,"[{'alias': 'bike_repair_maintenance', 'title': 'Bike Repair/Maintenance'}, {'alias': 'bikes', 'title': 'Bikes'}, {'alias': 'bikerentals', 'title': 'Bike Rentals'}]",PjiPxVU3u7DwE6smupHG_w
False,And Yoga Studios,,4.5,27,"[{'alias': 'yoga', 'title': 'Yoga'}]",dhg9tWiKlwuoL23eIEel6A
False,Richie's Gym,,4.0,47,"[{'alias': 'gyms', 'title': 'Gyms'}]",BhbJPzSKo1ZqktbndgS2ug
False,Jai Yoga Arts,,5.0,34,"[{'alias': 'yoga', 'title': 'Yoga'}]",c-4INfMw1X42Z3mve-kAsQ
False,Bushwick Country Club,$,4.0,163,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mini_golf', 'title': 'Mini Golf'}]",IIcKE40roY_GYSMS7Io4Nw
False,Blink Fitness,,3.0,66,"[{'alias': 'gyms', 'title': 'Gyms'}]",w3MVYZjVaFOaZ4fw8nTcWg
False,Bushwick Crossfit,,5.0,12,"[{'alias': 'intervaltraininggyms', 'title': 'Interval Training Gyms'}]",rVSDyMKWSP_qpJpaAWpnLg
False,Trapeze School New York: Brooklyn,,5.0,14,"[{'alias': 'fitness', 'title': 'Fitness & Instruction'}, {'alias': 'specialtyschools', 'title': 'Specialty Schools'}]",zp8t-QceOC14BIn6W5xyTA
False,Anchor Aquarium Service Inc.,,5.0,12,"[{'alias': 'aquariums', 'title': 'Aquariums'}, {'alias': 'aquariumservices', 'title': 'Aquarium Services'}]",Fb6AnxiIN3p537KSttE8zw
False,101 Wilson,$,5.0,12,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'skate_parks', 'title': 'Skate Parks'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]",MdSAmDJ9a5XSUPTktweIhQ
False,Manhattan Kayak + SUP,,4.5,85,"[{'alias': 'rafting', 'title': 'Rafting/Kayaking'}, {'alias': 'paddleboarding', 'title': 'Paddleboarding'}, {'alias': 'teambuilding', 'title': 'Team Building Activities'}]",miHPFQ9hKZ_FpXErOdTK6Q
False,Goodwin Barbell Club,,5.0,9,"[{'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'gyms', 'title': 'Gyms'}]",NCdTamDDSFQYRFEFBmNKnQ
